video_filename,video_width,video_height,resolution,fps,total_video_frames,video_duration_seconds,frame,timestamp_seconds,object_type,object_id,person_id,person_authorization,face_detected,vehicle_tracker_id,physical_vehicle_id,vehicle_type,plate_number,ocr_confidence,permit_status,event_status,event_reason,authorization
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,1,0.04,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,1,0.04,vehicle,2,,,,2,1,car,JK02DA7007,0.486,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,1,0.04,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,2,0.08,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,2,0.08,vehicle,2,,,,2,1,car,JK02DA7007,0.486,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,2,0.08,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,3,0.12,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,3,0.12,vehicle,2,,,,2,1,car,JK02DA7007,0.486,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,3,0.12,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,4,0.17,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,4,0.17,vehicle,2,,,,2,1,car,JK02DA7007,0.486,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,4,0.17,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,5,0.21,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,5,0.21,vehicle,2,,,,2,1,car,JK02DA7007,0.486,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,5,0.21,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,6,0.25,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,6,0.25,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,6,0.25,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,7,0.29,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,7,0.29,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,7,0.29,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,8,0.33,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,8,0.33,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,8,0.33,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,9,0.38,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,9,0.38,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,9,0.38,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,10,0.42,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,10,0.42,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,10,0.42,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,11,0.46,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,11,0.46,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,11,0.46,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,12,0.5,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,12,0.5,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,12,0.5,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,13,0.54,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,13,0.54,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,13,0.54,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,14,0.58,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,14,0.58,vehicle,2,,,,2,1,car,JK02DA7007,0.605,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,14,0.58,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,15,0.62,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,15,0.62,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,15,0.62,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,16,0.67,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,16,0.67,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,16,0.67,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,17,0.71,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,17,0.71,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,17,0.71,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,18,0.75,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,18,0.75,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,18,0.75,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,19,0.79,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,19,0.79,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,19,0.79,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,20,0.83,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,20,0.83,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,20,0.83,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,21,0.88,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,21,0.88,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,21,0.88,person,3,3,UNAUTHORIZED,False,,,,,,,,,UNAUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,22,0.92,person,1,1,AUTHORIZED,False,,,,,,,,,AUTHORIZED
border_cctv.mp4,1920,1080,1920x1080,24.0,496,20.67,22,0.92,vehicle,2,,,,2,1,car,JK02DA7007,0.853,VALID,ALLOWED,VALID,
